date,stablecoin,price,peg_value,market_cap,volume,jurisdiction,reserve_type,compliance_status,peg_currency,btc_volatility,eth_volatility,usd_short_rate,dxy,vix,volume_source
2023-12-29,EURC,1.1099999825738198,1.1068191528320312,50320838.0,,EU,fiat_reserve,regulated,EUR,0.017511616725631847,0.0307175494159044,0.05179999828338623,101.33000183105469,12.449999809265137,missing
2023-12-30,EURC,1.1000000088423083,1.1068191528320312,49760762.0,,EU,fiat_reserve,regulated,EUR,0.017742921943432455,0.030621467019149272,0.05179999828338623,101.33000183105469,12.449999809265137,missing
2023-12-31,EURC,1.1000000110731585,1.1068191528320312,49669659.0,,EU,fiat_reserve,regulated,EUR,0.017152602888774113,0.029679020204282727,0.05179999828338623,101.33000183105469,12.449999809265137,missing
2024-01-01,EURC,1.1000000110535748,1.1055831909179688,49757659.0,,EU,fiat_reserve,regulated,EUR,0.024522928663199436,0.03175987603250374,0.05179999828338623,101.33000183105469,12.449999809265137,missing
2024-01-02,EURC,1.1100000033160724,1.1038745641708374,50210001.0,,EU,fiat_reserve,regulated,EUR,0.021833921778333886,0.030173673394059408,0.052129998207092285,102.19999694824219,13.199999809265137,missing
2024-01-03,EURC,1.0979999991999836,1.0941756963729858,49408992.0,,EU,fiat_reserve,regulated,EUR,0.028994746363383977,0.0278547349463561,0.052350001335144045,102.45999908447266,14.039999961853027,missing
2024-01-04,EURC,1.0940000054690684,1.0927767753601074,50008518.0,,EU,fiat_reserve,regulated,EUR,0.030175828476422677,0.030958582900666654,0.052280001640319824,102.41999816894531,14.130000114440918,missing
2024-01-05,EURC,1.0930000092476453,1.0947387218475342,49758938.0,,EU,fiat_reserve,regulated,EUR,0.029317096412321504,0.030197501171979765,0.052199997901916505,102.41000366210938,13.350000381469727,missing
2024-01-06,EURC,1.0929999899149834,1.0947387218475342,49312263.0,,EU,fiat_reserve,regulated,EUR,0.029560848527784345,0.030450741194901515,0.052199997901916505,102.41000366210938,13.350000381469727,missing
2024-01-07,EURC,1.0850000005541218,1.0947387218475342,48951332.0,,EU,fiat_reserve,regulated,EUR,0.029671848883925055,0.03052159345506113,0.052199997901916505,102.41000366210938,13.350000381469727,missing
2024-01-08,EURC,1.0919999995567025,1.0942236185073853,49267147.0,,EU,fiat_reserve,regulated,EUR,0.03567755639679839,0.03453123627751646,0.052199997901916505,102.20999908447266,13.079999923706055,missing
2024-01-09,EURC,1.091000015603129,1.095170259475708,49294921.0,,EU,fiat_reserve,regulated,EUR,0.03677774387257581,0.034594461157615386,0.052300000190734865,102.56999969482422,12.760000228881836,missing
2024-01-10,EURC,1.092000016549961,1.0932426452636719,49354558.0,,EU,fiat_reserve,regulated,EUR,0.029040350582363223,0.04060443042179284,0.052249999046325685,102.36000061035156,12.6899995803833,missing
2024-01-11,EURC,1.0969999895175049,1.0975141525268555,49604411.0,,EU,fiat_reserve,regulated,EUR,0.028428673966074767,0.04069235608704844,0.052179999351501465,102.29000091552734,12.4399995803833,missing
2024-01-12,EURC,1.0990000060667866,1.0981649160385132,49816324.0,,EU,fiat_reserve,regulated,EUR,0.042583555408623915,0.04585525890775782,0.05197999954223633,102.4000015258789,12.699999809265137,missing
2024-01-13,EURC,1.08900001594325,1.0981649160385132,48837910.0,,EU,fiat_reserve,regulated,EUR,0.04260019694792322,0.04414227087932664,0.05197999954223633,102.4000015258789,12.699999809265137,missing
2024-01-14,EURC,1.1000000111416728,1.0981649160385132,49364222.0,,EU,fiat_reserve,regulated,EUR,0.043332610165047865,0.04908704587472796,0.05197999954223633,102.4000015258789,12.699999809265137,missing
2024-01-15,EURC,1.0989999935801573,1.0945708751678467,49302142.0,,EU,fiat_reserve,regulated,EUR,0.031025854069083248,0.04688495679907546,0.05197999954223633,102.4000015258789,12.699999809265137,missing
2024-01-16,EURC,1.0999999888616556,1.0945708751678467,49378972.0,,EU,fiat_reserve,regulated,EUR,0.03275664883885891,0.04728181649290685,0.05203000068664551,103.36000061035156,13.84000015258789,missing
2024-01-17,EURC,1.0980000077883483,1.087878942489624,49342940.0,,EU,fiat_reserve,regulated,EUR,0.0316118874904311,0.029577976611095933,0.052150001525878904,103.44999694824219,14.789999961853027,missing
2024-01-18,EURC,1.0979999947708983,1.0885775089263916,48715058.0,,EU,fiat_reserve,regulated,EUR,0.03253596651507245,0.029463023860455028,0.051999998092651364,103.54000091552734,14.130000114440918,missing
2024-01-19,EURC,1.0970000007452454,1.0879143476486206,48575940.0,,EU,fiat_reserve,regulated,EUR,0.01988381899153901,0.0271380730276922,0.05197999954223633,103.29000091552734,13.300000190734863,missing
