event_name,jurisdiction,event_date,window_days,outcome,treated_pre_mean,treated_post_mean,treated_change,all_pre_mean,all_post_mean,all_change
Singapore MAS stablecoin framework,SG,2023-08-15,7,market_cap_growth_7d,,,,0.2876165715997205,661.546230038129,661.2586134665293
Singapore MAS stablecoin framework,SG,2023-08-15,7,volume_market_cap_ratio,,,,0.15414064418946258,0.1734064221058786,0.01926577791641601
Singapore MAS stablecoin framework,SG,2023-08-15,30,peg_deviation,,,,0.0014600169026676671,0.001806210839518328,0.0003461939368506609
Singapore MAS stablecoin framework,SG,2023-08-15,30,rolling_volatility_7d,,,,0.002539808077270999,0.0028981897286266163,0.0003583816513556175
Singapore MAS stablecoin framework,SG,2023-08-15,30,market_cap_growth_7d,,,,51.84781981187376,251.59218220532475,199.74436239345098
Singapore MAS stablecoin framework,SG,2023-08-15,30,volume_market_cap_ratio,,,,0.1537115128803056,0.1616188309481506,0.007907318067845004
Singapore MAS stablecoin framework,SG,2023-08-15,90,peg_deviation,,,,0.0018478320452730084,0.0019365939114495629,8.876186617655444e-05
Singapore MAS stablecoin framework,SG,2023-08-15,90,rolling_volatility_7d,,,,0.0026968736841813255,0.0032268142371041386,0.000529940552922813
Singapore MAS stablecoin framework,SG,2023-08-15,90,market_cap_growth_7d,,,,22.599712123878657,85.78410987892721,63.18439775504855
Singapore MAS stablecoin framework,SG,2023-08-15,90,volume_market_cap_ratio,,,,0.1586573002247292,0.1704060117419779,0.011748711517248683
EU MiCA stablecoin rules apply,EU,2024-06-30,7,peg_deviation,0.0033825925777846047,0.0021385849603382254,-0.0012440076174463793,0.0015940467864265623,0.0015749706761488543,-1.9076110277708004e-05
EU MiCA stablecoin rules apply,EU,2024-06-30,7,rolling_volatility_7d,0.0037848274468811763,0.0031314574578634683,-0.000653369989017708,0.0016583800265378712,0.0021028995575694516,0.00044451953103158046
EU MiCA stablecoin rules apply,EU,2024-06-30,7,market_cap_growth_7d,0.01043244647772451,0.03653303847390125,0.026100591996176738,0.016904614138873078,0.06873332870202588,0.0518287145631528
EU MiCA stablecoin rules apply,EU,2024-06-30,7,volume_market_cap_ratio,0.1833631702989144,0.18336317029891439,-2.7755575615628914e-17,0.1961501327831534,0.2173436947051241,0.021193561921970694
EU MiCA stablecoin rules apply,EU,2024-06-30,30,peg_deviation,0.004213478672912541,0.0019651265357125496,-0.0022483521371999917,0.001747312954952816,0.001218197443999921,-0.0005291155109528949
EU MiCA stablecoin rules apply,EU,2024-06-30,30,rolling_volatility_7d,0.0036141229843803736,0.0032428373764561936,-0.00037128560792418,0.0015581030182626344,0.002209313929823738,0.0006512109115611037
EU MiCA stablecoin rules apply,EU,2024-06-30,30,market_cap_growth_7d,0.01399955255182983,0.007185881110796449,-0.006813671441033381,-0.0007057732318650388,0.024632555966926498,0.025338329198791535
EU MiCA stablecoin rules apply,EU,2024-06-30,30,volume_market_cap_ratio,0.1833631702989144,0.1833631702989144,0.0,0.20408598199765152,0.20777550421668678,0.003689522219035263
EU MiCA stablecoin rules apply,EU,2024-06-30,90,peg_deviation,0.004538089494415418,0.003240818429068254,-0.001297271065347164,0.0019528430274677454,0.0015596796730889628,-0.0003931633543787826
EU MiCA stablecoin rules apply,EU,2024-06-30,90,rolling_volatility_7d,0.003797038752835264,0.004547687735935858,0.000750648983100594,0.002056285481050848,0.002639481155698934,0.000583195674648086
EU MiCA stablecoin rules apply,EU,2024-06-30,90,market_cap_growth_7d,-0.0028612229632006664,0.0371567235044915,0.04001794646769217,0.0099463073922165,0.028338921575246305,0.018392614183029805
EU MiCA stablecoin rules apply,EU,2024-06-30,90,volume_market_cap_ratio,0.18336317029891444,0.18336317029891444,0.0,0.22355832142327886,0.2017102528626247,-0.02184806856065416
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,7,peg_deviation,0.00019478561394389464,0.0002024999021037477,7.71428815985305e-06,0.001369561868546012,0.0015360328740863126,0.0001664710055403005
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,7,rolling_volatility_7d,0.0001907564525426303,0.0001450217613952309,-4.573469114739942e-05,0.0025284300028355407,0.0028895367067409954,0.0003611067039054547
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,7,market_cap_growth_7d,0.005696288097583895,0.0008843765142845031,-0.004811911583299392,0.003250899430521499,0.004194461133267682,0.0009435617027461827
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,7,volume_market_cap_ratio,0.21822263188508614,0.22645734403301016,0.008234712147924012,1.43609692674067,0.9123856731621054,-0.5237112535785646
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,30,peg_deviation,0.00021696671316634257,0.0002400161517810919,2.3049438614749314e-05,0.0014106923778404216,0.0016359178223472471,0.00022522544450682557
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,30,rolling_volatility_7d,0.00020902509222873737,0.00013812845916877378,-7.089663305996359e-05,0.0023299778190022115,0.0028179922147388826,0.000488014395736671
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,30,market_cap_growth_7d,-0.008783502950558212,0.03543376381878515,0.044217266769343365,-0.0013721823054308865,0.01052363816658596,0.011895820472016847
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,30,volume_market_cap_ratio,0.17802845438763398,0.209205379150539,0.03117692476290501,0.9718670754257435,0.8580966186867133,-0.11377045673903019
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,90,peg_deviation,0.00022558890828978476,0.00023563927604249588,1.0050367752711123e-05,0.0014197600424935308,0.0016420152963316896,0.0002222552538381588
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,90,rolling_volatility_7d,0.00015461096788763515,0.00017528225332956684,2.0671285441931694e-05,0.002473036160104622,0.0023823736681464476,-9.066249195817432e-05
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,90,market_cap_growth_7d,0.003740775465844917,0.055273698559623816,0.051532923093778896,0.0014272079614560886,0.019124117825007766,0.01769690986355168
US GENIUS Act becomes Public Law 119-27,US,2025-07-18,90,volume_market_cap_ratio,0.17853727408916964,0.21213876859559502,0.03360149450642538,0.7243099245884701,0.5589673722423647,-0.1653425523461054
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,7,peg_deviation,0.002230714329358555,0.001813249994492408,-0.00041746433486614717,0.0014383860185365016,0.0023413961283740587,0.0009030101098375571
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,7,rolling_volatility_7d,0.0022762526390706197,0.0013317270216506162,-0.0009445256174200035,0.002836958339757984,0.003147827146005304,0.00031086880624731994
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,7,market_cap_growth_7d,-0.08327608421973995,-0.06314495314981365,0.020131131069926297,-0.0016280282427133094,0.00767723778867754,0.00930526603139085
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,7,volume_market_cap_ratio,0.1833631702989144,0.18336317029891439,-2.7755575615628914e-17,0.8696546259406887,0.7534619849540667,-0.11619264098662196
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,30,peg_deviation,0.0020909333467846623,0.002205387133766594,0.00011445378698193192,0.0014310033877474144,0.0017683362835547508,0.0003373328958073364
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,30,rolling_volatility_7d,0.0027701522402656946,0.002519065058657203,-0.0002510871816084918,0.0026460822474198686,0.002684570854929125,3.848860750925659e-05
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,30,market_cap_growth_7d,-0.0245477293053887,-0.0390624555839929,-0.014514726278604197,-0.0005183596289470715,0.014885542490797578,0.015403902119744649
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,30,volume_market_cap_ratio,0.1833631702989144,0.1833631702989144,0.0,1.0176383990183844,0.7999366488112918,-0.2177017502070926
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,90,peg_deviation,0.0018513778152512157,0.002094508348050959,0.00024313053279974317,0.0014506966357559431,0.0017228962639991273,0.00027219962824318413
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,90,rolling_volatility_7d,0.0025477725165107433,0.0014409011438691467,-0.0011068713726415966,0.0024205364525349054,0.0021551299572832336,-0.00026540649525167185
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,90,market_cap_growth_7d,-0.007077276791464683,-0.027993425415692958,-0.020916148624228276,0.0009310026212116716,0.02004921063661032,0.01911820801539865
Hong Kong Stablecoins Ordinance commences,HK,2025-08-01,90,volume_market_cap_ratio,0.18336317029891444,0.18336317029891444,0.0,0.8321876495549759,0.45921504377471556,-0.37297260578026037
